id,area,sort_order,code,category,competency,sub_competency,category_en,competency_en,sub_competency_en
1,FIN,1,1.1.1,1 Strateji Maliyyə,1.1 Maliyyə Baxışı və Strategiyası,1.1.1 Təşkilati məqsədlərə uyğun uzunmüddətli maliyyə strategiyasını müəyyən etmək,1 Strategic Finance,1.1 Financial Vision & Strategy,1.1.1 Define long-term financial strategy aligned with organizational goals
2,FIN,2,1.1.2,1 Strateji Maliyyə,1.1 Maliyyə Baxışı və Strategiyası,1.1.2 Strategiyanı maliyyə fəaliyyət planlarına çevirmək,1 Strategic Finance,1.1 Financial Vision & Strategy,1.1.2 Translate strategy into financial action plans
3,FIN,3,1.1.3,1 Strateji Maliyyə,1.1 Maliyyə Baxışı və Strategiyası,1.1.3 Maliyyə siyasətini çoxillik strateji hədəflərlə uyğunlaşdırmaq,1 Strategic Finance,1.1 Financial Vision & Strategy,1.1.3 Align financial policy to multi-year strategic goals
4,FIN,4,1.1.4,1 Strateji Maliyyə,1.1 Maliyyə Baxışı və Strategiyası,1.1.4 İdarə heyəti və investorlar üçün strateji maliyyə təqdimatlarına rəhbərlik etmək,1 Strategic Finance,1.1 Financial Vision & Strategy,1.1.4 Lead strategic finance presentations to board/investors
5,FIN,5,1.2.1,1 Strateji Maliyyə,1.2 Risk-əsaslı Proqnozlaşdırma,1.2.1 Qeyri-müəyyənliyi idarə etmək üçün dinamik proqnozlar hazırlamaq,1 Strategic Finance,1.2 Risk-Based Forecasting,1.2.1 Build dynamic forecasts to manage uncertainty
6,FIN,6,1.2.2,1 Strateji Maliyyə,1.2 Risk-əsaslı Proqnozlaşdırma,1.2.2 Maliyyə risklərini kəmiyyətcə qiymətləndirmək və azaltmaq,1 Strategic Finance,1.2 Risk-Based Forecasting,1.2.2 Quantify and mitigate financial risks
7,FIN,7,1.2.3,1 Strateji Maliyyə,1.2 Risk-əsaslı Proqnozlaşdırma,1.2.3 ESG-ni maliyyə planlamasına inteqrasiya etmək,1 Strategic Finance,1.2 Risk-Based Forecasting,1.2.3 Integrate ESG into financial planning
8,FIN,8,1.3.1,1 Strateji Maliyyə,1.3 Büdcələmə və Prioritetləşdirmə,1.3.1 Strategiyaya uyğun büdcələr hazırlamaq,1 Strategic Finance,1.3 Budgeting & Prioritization,1.3.1 Develop strategy-aligned budgets
9,FIN,9,1.3.2,1 Strateji Maliyyə,1.3 Büdcələmə və Prioritetləşdirmə,1.3.2 Adaptiv büdcələmə sistemləri dizayn etmək,1 Strategic Finance,1.3 Budgeting & Prioritization,1.3.2 Design adaptive budgeting systems
10,FIN,10,1.3.3,1 Strateji Maliyyə,1.3 Büdcələmə və Prioritetləşdirmə,1.3.3 Performans əsaslı büdcələməni tətbiq etmək,1 Strategic Finance,1.3 Budgeting & Prioritization,1.3.3 Implement performance-based budgeting
