id,area,dept_label,position,catalog_id,criticality,required_level
1,SEC,Daxili Təhlükəsizlik Departamenti,Daxili təhlükəsizliyə nəzarət şöbəsinin müdiri,796,5,5
2,SEC,Daxili Təhlükəsizlik Departamenti,Daxili təhlükəsizliyə nəzarət şöbəsinin müdiri,797,5,5
3,SEC,Daxili Təhlükəsizlik Departamenti,Daxili təhlükəsizliyə nəzarət şöbəsinin müdiri,799,5,4
4,SEC,Daxili Təhlükəsizlik Departamenti,Daxili təhlükəsizliyə nəzarət şöbəsinin müdiri,800,5,5
5,SEC,Daxili Təhlükəsizlik Departamenti,Daxili təhlükəsizliyə nəzarət şöbəsinin müdiri,802,5,5
6,SEC,Daxili Təhlükəsizlik Departamenti,Daxili təhlükəsizliyə nəzarət şöbəsinin müdiri,807,5,5
7,SEC,Daxili Təhlükəsizlik Departamenti,Daxili təhlükəsizliyə nəzarət şöbəsinin müdiri,812,5,5
8,SEC,Daxili Təhlükəsizlik Departamenti,Daxili təhlükəsizliyə nəzarət şöbəsinin müdiri,824,5,5
9,SEC,Daxili Təhlükəsizlik Departamenti,Daxili təhlükəsizliyə nəzarət şöbəsinin müdiri,826,5,5
10,SEC,Daxili Təhlükəsizlik Departamenti,Baş nəzarətçi,829,4,4
11,SEC,Daxili Təhlükəsizlik Departamenti,Baş nəzarətçi,800,4,4
12,SEC,Daxili Təhlükəsizlik Departamenti,Baş nəzarətçi,804,4,4
13,SEC,Daxili Təhlükəsizlik Departamenti,Baş nəzarətçi,806,4,4
14,SEC,Daxili Təhlükəsizlik Departamenti,Baş nəzarətçi,810,4,4
15,SEC,Daxili Təhlükəsizlik Departamenti,Baş nəzarətçi,814,4,4
16,SEC,Daxili Təhlükəsizlik Departamenti,Baş nəzarətçi,819,3,4
17,SEC,Daxili Təhlükəsizlik Departamenti,Baş nəzarətçi,825,4,4
18,SEC,Daxili Təhlükəsizlik Departamenti,Video nəzarət üzrə mütəxəssis,828,3,3
19,SEC,Daxili Təhlükəsizlik Departamenti,Video nəzarət üzrə mütəxəssis,808,3,3
20,SEC,Daxili Təhlükəsizlik Departamenti,Video nəzarət üzrə mütəxəssis,811,3,3
21,SEC,Daxili Təhlükəsizlik Departamenti,Video nəzarət üzrə mütəxəssis,805,3,3
22,SEC,Daxili Təhlükəsizlik Departamenti,Video nəzarət üzrə mütəxəssis,814,2,3
23,SEC,Daxili Təhlükəsizlik Departamenti,Video nəzarət üzrə mütəxəssis,825,3,3
24,SEC,Daxili Təhlükəsizlik Departamenti,Növbə rəisi,829,3,3
25,SEC,Daxili Təhlükəsizlik Departamenti,Növbə rəisi,810,3,3
26,SEC,Daxili Təhlükəsizlik Departamenti,Növbə rəisi,803,3,3
27,SEC,Daxili Təhlükəsizlik Departamenti,Növbə rəisi,814,3,3
28,SEC,Daxili Təhlükəsizlik Departamenti,Növbə rəisi,819,3,3
29,SEC,Daxili Təhlükəsizlik Departamenti,Növbə rəisi,823,3,3
30,SEC,Daxili Təhlükəsizlik Departamenti,Nəzarətçi,828,2,2
31,SEC,Daxili Təhlükəsizlik Departamenti,Nəzarətçi,808,2,2
32,SEC,Daxili Təhlükəsizlik Departamenti,Nəzarətçi,810,2,2
33,SEC,Daxili Təhlükəsizlik Departamenti,Nəzarətçi,812,2,2
34,SEC,Daxili Təhlükəsizlik Departamenti,Nəzarətçi,825,3,2
35,ADM,İnzibati Şöbə,İnzibati şöbəsinin rəhbəri,675,5,5
36,ADM,İnzibati Şöbə,İnzibati şöbəsinin rəhbəri,676,5,5
37,ADM,İnzibati Şöbə,İnzibati şöbəsinin rəhbəri,678,5,5
38,ADM,İnzibati Şöbə,Avtoparkın idarəedilməsi şöbəsinin müdiri,695,3,3
39,ADM,İnzibati Şöbə,Avtoparkın idarəedilməsi şöbəsinin müdiri,700,3,3
40,ADM,İnzibati Şöbə,Avtoparkın idarəedilməsi şöbəsinin müdiri,707,3,3
41,ADM,İnzibati Şöbə,Avtoparkın idarəedilməsi şöbəsinin müdiri,731,3,3
42,ADM,İnzibati Şöbə,Avtoparkın idarəedilməsi şöbəsinin müdiri,736,3,3
43,ADM,İnzibati Şöbə,Baş mexanik,695,3,3
44,ADM,İnzibati Şöbə,Baş mexanik,700,3,3
45,ADM,İnzibati Şöbə,Baş mexanik,707,3,3
46,ADM,İnzibati Şöbə,Baş mexanik,731,3,3
47,ADM,İnzibati Şöbə,Baş mexanik,736,3,3
48,ADM,İnzibati Şöbə,Təmir bölməsinin rəhbəri,695,3,3
49,ADM,İnzibati Şöbə,Təmir bölməsinin rəhbəri,700,3,3
50,ADM,İnzibati Şöbə,Təmir bölməsinin rəhbəri,707,3,3
51,ADM,İnzibati Şöbə,Təmir bölməsinin rəhbəri,731,3,3
52,ADM,İnzibati Şöbə,Təmir bölməsinin rəhbəri,736,3,3
53,ADM,İnzibati Şöbə,Arxiv və sənəd dövriyyəsi üzrə mütəxəssis,695,3,3
54,ADM,İnzibati Şöbə,Arxiv və sənəd dövriyyəsi üzrə mütəxəssis,700,3,3
55,ADM,İnzibati Şöbə,Arxiv və sənəd dövriyyəsi üzrə mütəxəssis,707,3,3
56,ADM,İnzibati Şöbə,Arxiv və sənəd dövriyyəsi üzrə mütəxəssis,731,3,3
57,ADM,İnzibati Şöbə,Arxiv və sənəd dövriyyəsi üzrə mütəxəssis,736,3,3
58,ADM,İnzibati Şöbə,Arxiv və sənəd dövriyyəsi üzrə qrup rəhbəri,695,3,3
59,ADM,İnzibati Şöbə,Arxiv və sənəd dövriyyəsi üzrə qrup rəhbəri,700,3,3
60,ADM,İnzibati Şöbə,Arxiv və sənəd dövriyyəsi üzrə qrup rəhbəri,707,3,3
61,ADM,İnzibati Şöbə,Arxiv və sənəd dövriyyəsi üzrə qrup rəhbəri,731,3,3
62,ADM,İnzibati Şöbə,Arxiv və sənəd dövriyyəsi üzrə qrup rəhbəri,736,3,3
63,ADM,İnzibati Şöbə,Baş direktorun şəxsi köməkçisi,695,3,3
64,ADM,İnzibati Şöbə,Baş direktorun şəxsi köməkçisi,700,3,3
65,ADM,İnzibati Şöbə,Baş direktorun şəxsi köməkçisi,707,3,3
66,ADM,İnzibati Şöbə,Baş direktorun şəxsi köməkçisi,731,3,3
67,ADM,İnzibati Şöbə,Baş direktorun şəxsi köməkçisi,736,3,3
68,ADM,İnzibati Şöbə,Təsərrüfat bölməsinin müdiri,695,3,3
69,ADM,İnzibati Şöbə,Təsərrüfat bölməsinin müdiri,700,3,3
70,ADM,İnzibati Şöbə,Təsərrüfat bölməsinin müdiri,707,3,3
71,ADM,İnzibati Şöbə,Təsərrüfat bölməsinin müdiri,731,3,3
72,ADM,İnzibati Şöbə,Təsərrüfat bölməsinin müdiri,736,3,3
73,ADM,İnzibati Şöbə,Təsərrüfat işləri üzrə koordinator,695,3,3
74,ADM,İnzibati Şöbə,Təsərrüfat işləri üzrə koordinator,700,3,3
75,ADM,İnzibati Şöbə,Təsərrüfat işləri üzrə koordinator,707,3,3
76,ADM,İnzibati Şöbə,Təsərrüfat işləri üzrə koordinator,731,3,3
77,ADM,İnzibati Şöbə,Təsərrüfat işləri üzrə koordinator,736,3,3
78,ADM,İnzibati Şöbə,İcraçı köməkçi,695,3,3
79,ADM,İnzibati Şöbə,İcraçı köməkçi,700,3,3
80,ADM,İnzibati Şöbə,İcraçı köməkçi,707,3,3
81,ADM,İnzibati Şöbə,İcraçı köməkçi,731,3,3
82,ADM,İnzibati Şöbə,İcraçı köməkçi,736,3,3
83,ADM,İnzibati Şöbə,İnzibati şöbəsinin rəhbəri,695,3,3
84,ADM,İnzibati Şöbə,İnzibati şöbəsinin rəhbəri,700,3,3
85,ADM,İnzibati Şöbə,İnzibati şöbəsinin rəhbəri,707,3,3
86,ADM,İnzibati Şöbə,İnzibati şöbəsinin rəhbəri,731,3,3
87,ADM,İnzibati Şöbə,İnzibati şöbəsinin rəhbəri,736,3,3
88,ADM,İnzibati Şöbə,Şəxsi köməkçi,695,3,3
89,ADM,İnzibati Şöbə,Şəxsi köməkçi,700,3,3
90,ADM,İnzibati Şöbə,Şəxsi köməkçi,707,3,3
91,ADM,İnzibati Şöbə,Şəxsi köməkçi,731,3,3
92,ADM,İnzibati Şöbə,Şəxsi köməkçi,736,3,3
93,BA,Biznes Analitikası və Xidmət Keyfiyyətinə Nəzarət Şöbəsi,Biznes Analitikası və Xidmət Keyfiyyətinə Nəzarət şöbəsinin müdiri,144,5,5
94,BA,Biznes Analitikası və Xidmət Keyfiyyətinə Nəzarət Şöbəsi,Biznes Analitikası və Xidmət Keyfiyyətinə Nəzarət şöbəsinin müdiri,147,5,5
95,BA,Biznes Analitikası və Xidmət Keyfiyyətinə Nəzarət Şöbəsi,Biznes Analitikası və Xidmət Keyfiyyətinə Nəzarət şöbəsinin müdiri,148,4,5
96,BA,Biznes Analitikası və Xidmət Keyfiyyətinə Nəzarət Şöbəsi,Biznes Analitikası və Xidmət Keyfiyyətinə Nəzarət şöbəsinin müdiri,156,4,5
97,BA,Biznes Analitikası və Xidmət Keyfiyyətinə Nəzarət Şöbəsi,Biznes Analitikası və Xidmət Keyfiyyətinə Nəzarət şöbəsinin müdiri,173,4,5
98,BA,Biznes Analitikası və Xidmət Keyfiyyətinə Nəzarət Şöbəsi,Biznes Analitikası və Xidmət Keyfiyyətinə Nəzarət şöbəsinin müdiri,184,4,5
99,BA,Biznes Analitikası və Xidmət Keyfiyyətinə Nəzarət Şöbəsi,Biznes Analitikası və Xidmət Keyfiyyətinə Nəzarət şöbəsinin müdiri,194,5,5
100,BA,Biznes Analitikası və Xidmət Keyfiyyətinə Nəzarət Şöbəsi,Biznes Analitikası və Xidmət Keyfiyyətinə Nəzarət şöbəsinin müdiri,199,5,5
101,BA,Biznes Analitikası və Xidmət Keyfiyyətinə Nəzarət Şöbəsi,Biznes Analitikası və Xidmət Keyfiyyətinə Nəzarət şöbəsinin müdiri,207,4,5
102,BA,Biznes Analitikası və Xidmət Keyfiyyətinə Nəzarət Şöbəsi,Biznes Analitikası üzrə qrup rəhbəri,159,4,4
103,BA,Biznes Analitikası və Xidmət Keyfiyyətinə Nəzarət Şöbəsi,Biznes Analitikası üzrə qrup rəhbəri,166,4,4
104,BA,Biznes Analitikası və Xidmət Keyfiyyətinə Nəzarət Şöbəsi,Biznes Analitikası üzrə qrup rəhbəri,185,4,4
105,BA,Biznes Analitikası və Xidmət Keyfiyyətinə Nəzarət Şöbəsi,Biznes Analitikası üzrə qrup rəhbəri,191,4,4
106,BA,Biznes Analitikası və Xidmət Keyfiyyətinə Nəzarət Şöbəsi,Biznes Analitikası üzrə qrup rəhbəri,195,4,4
107,BA,Biznes Analitikası və Xidmət Keyfiyyətinə Nəzarət Şöbəsi,Biznes Analitikası üzrə qrup rəhbəri,200,4,4
108,BA,Biznes Analitikası və Xidmət Keyfiyyətinə Nəzarət Şöbəsi,Biznes Analitikası üzrə qrup rəhbəri,204,3,4
109,BA,Biznes Analitikası və Xidmət Keyfiyyətinə Nəzarət Şöbəsi,Satış üzrə aparıcı analitik,160,3,4
110,BA,Biznes Analitikası və Xidmət Keyfiyyətinə Nəzarət Şöbəsi,Satış üzrə aparıcı analitik,169,3,4
111,BA,Biznes Analitikası və Xidmət Keyfiyyətinə Nəzarət Şöbəsi,Satış üzrə aparıcı analitik,171,3,4
112,BA,Biznes Analitikası və Xidmət Keyfiyyətinə Nəzarət Şöbəsi,Satış üzrə aparıcı analitik,186,3,4
113,BA,Biznes Analitikası və Xidmət Keyfiyyətinə Nəzarət Şöbəsi,Satış üzrə aparıcı analitik,190,3,4
114,BA,Biznes Analitikası və Xidmət Keyfiyyətinə Nəzarət Şöbəsi,Satış üzrə aparıcı analitik,201,3,4
115,BA,Biznes Analitikası və Xidmət Keyfiyyətinə Nəzarət Şöbəsi,Satış üzrə aparıcı analitik,205,3,4
116,BA,Biznes Analitikası və Xidmət Keyfiyyətinə Nəzarət Şöbəsi,Satış üzrə analitik,159,3,3
117,BA,Biznes Analitikası və Xidmət Keyfiyyətinə Nəzarət Şöbəsi,Satış üzrə analitik,163,3,3
118,BA,Biznes Analitikası və Xidmət Keyfiyyətinə Nəzarət Şöbəsi,Satış üzrə analitik,187,3,3
119,BA,Biznes Analitikası və Xidmət Keyfiyyətinə Nəzarət Şöbəsi,Satış üzrə analitik,150,3,3
120,BA,Biznes Analitikası və Xidmət Keyfiyyətinə Nəzarət Şöbəsi,Satış üzrə analitik,201,3,3
121,BA,Biznes Analitikası və Xidmət Keyfiyyətinə Nəzarət Şöbəsi,Satış üzrə analitik,204,2,3
122,BA,Biznes Analitikası və Xidmət Keyfiyyətinə Nəzarət Şöbəsi,Əməliyyatlar üzrə analitik,179,3,3
123,BA,Biznes Analitikası və Xidmət Keyfiyyətinə Nəzarət Şöbəsi,Əməliyyatlar üzrə analitik,180,3,3
124,BA,Biznes Analitikası və Xidmət Keyfiyyətinə Nəzarət Şöbəsi,Əməliyyatlar üzrə analitik,164,3,3
125,BA,Biznes Analitikası və Xidmət Keyfiyyətinə Nəzarət Şöbəsi,Əməliyyatlar üzrə analitik,186,3,3
126,BA,Biznes Analitikası və Xidmət Keyfiyyətinə Nəzarət Şöbəsi,Əməliyyatlar üzrə analitik,202,3,3
127,BA,Biznes Analitikası və Xidmət Keyfiyyətinə Nəzarət Şöbəsi,Əməliyyatlar üzrə analitik,207,2,3
128,BA,Biznes Analitikası və Xidmət Keyfiyyətinə Nəzarət Şöbəsi,Satış üzrə kiçik analitik,159,2,2
129,BA,Biznes Analitikası və Xidmət Keyfiyyətinə Nəzarət Şöbəsi,Satış üzrə kiçik analitik,149,2,2
130,BA,Biznes Analitikası və Xidmət Keyfiyyətinə Nəzarət Şöbəsi,Satış üzrə kiçik analitik,188,2,2
131,BA,Biznes Analitikası və Xidmət Keyfiyyətinə Nəzarət Şöbəsi,Satış üzrə kiçik analitik,201,2,2
132,BA,Biznes Analitikası və Xidmət Keyfiyyətinə Nəzarət Şöbəsi,Satış üzrə kiçik analitik,208,2,2
133,ERP,ERP Şöbəsi,ERP şöbə rəhbəri,74,5,5
134,ERP,ERP Şöbəsi,ERP şöbə rəhbəri,78,5,5
135,ERP,ERP Şöbəsi,ERP şöbə rəhbəri,79,5,5
136,ERP,ERP Şöbəsi,ERP şöbə rəhbəri,84,4,5
137,ERP,ERP Şöbəsi,ERP şöbə rəhbəri,94,4,5
138,ERP,ERP Şöbəsi,ERP şöbə rəhbəri,113,4,4
139,ERP,ERP Şöbəsi,ERP şöbə rəhbəri,124,5,5
140,ERP,ERP Şöbəsi,ERP şöbə rəhbəri,129,5,5
141,ERP,ERP Şöbəsi,ERP şöbə rəhbəri,134,4,5
142,ERP,ERP Şöbəsi,ERP şöbə rəhbəri,139,5,5
143,ERP,ERP Şöbəsi,ERP şöbə rəhbəri,85,4,4
144,ERP,ERP Şöbəsi,ERP şöbə rəhbəri,90,4,4
145,ERP,ERP Şöbəsi,ERP şöbə rəhbəri,92,4,4
146,ERP,ERP Şöbəsi,ERP şöbə rəhbəri,103,3,4
147,ERP,ERP Şöbəsi,ERP şöbə rəhbəri,105,4,4
148,ERP,ERP Şöbəsi,ERP şöbə rəhbəri,126,3,4
149,ERP,ERP Şöbəsi,ERP şöbə rəhbəri,131,3,4
150,ERP,ERP Şöbəsi,ERP əməliyyatları üzrə mütəxəssis,89,3,3
151,ERP,ERP Şöbəsi,ERP əməliyyatları üzrə mütəxəssis,91,3,3
152,ERP,ERP Şöbəsi,ERP əməliyyatları üzrə mütəxəssis,95,3,3
153,ERP,ERP Şöbəsi,ERP əməliyyatları üzrə mütəxəssis,104,3,3
154,ERP,ERP Şöbəsi,ERP əməliyyatları üzrə mütəxəssis,110,3,3
155,ERP,ERP Şöbəsi,ERP əməliyyatları üzrə mütəxəssis,125,2,3
156,ERP,ERP Şöbəsi,İT biznes analitik,80,4,4
157,ERP,ERP Şöbəsi,İT biznes analitik,90,4,4
158,ERP,ERP Şöbəsi,İT biznes analitik,99,3,4
159,ERP,ERP Şöbəsi,İT biznes analitik,115,3,4
160,ERP,ERP Şöbəsi,İT biznes analitik,124,4,4
161,ERP,ERP Şöbəsi,İT biznes analitik,130,3,4
162,ERP,ERP Şöbəsi,Proqramçı,119,3,4
163,ERP,ERP Şöbəsi,Proqramçı,92,3,4
164,ERP,ERP Şöbəsi,Proqramçı,111,4,4
165,ERP,ERP Şöbəsi,Proqramçı,118,3,4
166,ERP,ERP Şöbəsi,Proqramçı,141,3,4
167,ERP,ERP Şöbəsi,SQL üzrə proqramçı,114,4,4
168,ERP,ERP Şöbəsi,SQL üzrə proqramçı,96,3,4
169,LEG,Hüquq Şöbəsi,Hüquq şöbəsinin rəhbəri,610,5,5
170,LEG,Hüquq Şöbəsi,Hüquq şöbəsinin rəhbəri,612,5,5
171,LEG,Hüquq Şöbəsi,Hüquq şöbəsinin rəhbəri,616,5,5
172,LEG,Hüquq Şöbəsi,Hüquq şöbəsinin rəhbəri,620,5,5
173,LEG,Hüquq Şöbəsi,Hüquq şöbəsinin rəhbəri,629,5,5
174,LEG,Hüquq Şöbəsi,Hüquq şöbəsinin rəhbəri,642,4,5
175,LEG,Hüquq Şöbəsi,Hüquq şöbəsinin rəhbəri,661,5,5
176,LEG,Hüquq Şöbəsi,Hüquq şöbəsinin rəhbəri,665,4,5
177,LEG,Hüquq Şöbəsi,Hüquq şöbəsinin rəhbəri,673,5,5
178,LEG,Hüquq Şöbəsi,Aparıcı hüquqşünas,615,4,4
179,LEG,Hüquq Şöbəsi,Aparıcı hüquqşünas,622,4,4
180,LEG,Hüquq Şöbəsi,Aparıcı hüquqşünas,626,4,4
181,LEG,Hüquq Şöbəsi,Aparıcı hüquqşünas,631,3,4
182,LEG,Hüquq Şöbəsi,Aparıcı hüquqşünas,636,3,4
183,LEG,Hüquq Şöbəsi,Aparıcı hüquqşünas,640,4,4
184,LEG,Hüquq Şöbəsi,Aparıcı hüquqşünas,660,4,4
185,LEG,Hüquq Şöbəsi,Aparıcı hüquqşünas,671,5,4
186,LEG,Hüquq Şöbəsi,Hüquqşünas,615,3,3
187,LEG,Hüquq Şöbəsi,Hüquqşünas,625,3,3
188,LEG,Hüquq Şöbəsi,Hüquqşünas,630,3,3
189,LEG,Hüquq Şöbəsi,Hüquqşünas,637,3,3
190,LEG,Hüquq Şöbəsi,Hüquqşünas,643,2,3
191,LEG,Hüquq Şöbəsi,Hüquqşünas,665,3,3
192,LEG,Hüquq Şöbəsi,Hüquqşünas,671,4,3
193,SAL,Satış Departamenti,Satış direktoru,209,5,5
194,SAL,Satış Departamenti,Satış direktoru,210,5,5
195,SAL,Satış Departamenti,Satış direktoru,211,5,5
196,SAL,Satış Departamenti,Satış direktoru,214,5,5
197,SAL,Satış Departamenti,Satış direktoru,219,5,5
198,SAL,Satış Departamenti,Satış direktoru,224,5,5
199,SAL,Satış Departamenti,Satış direktoru,269,5,5
200,SAL,Satış Departamenti,Satış direktoru,289,5,5
201,SAL,Satış Departamenti,Satış üzrə mütəxəssis,209,3,3
202,SAL,Satış Departamenti,Satış üzrə mütəxəssis,210,3,3
203,SAL,Satış Departamenti,Satış üzrə mütəxəssis,211,3,3
204,SAL,Satış Departamenti,Satış üzrə mütəxəssis,214,3,3
205,SAL,Satış Departamenti,Satış üzrə mütəxəssis,219,3,3
206,SAL,Satış Departamenti,Satış üzrə mütəxəssis,224,3,3
207,SAL,Satış Departamenti,Satış üzrə mütəxəssis,269,3,3
208,SAL,Satış Departamenti,Satış üzrə mütəxəssis,289,3,3
209,SAL,Satış Departamenti,Satışa dəstək üzrə aparıcı mütəxəssis,209,3,3
210,SAL,Satış Departamenti,Satışa dəstək üzrə aparıcı mütəxəssis,210,3,3
211,SAL,Satış Departamenti,Satışa dəstək üzrə aparıcı mütəxəssis,211,3,3
212,SAL,Satış Departamenti,Satışa dəstək üzrə aparıcı mütəxəssis,214,3,3
213,SAL,Satış Departamenti,Satışa dəstək üzrə aparıcı mütəxəssis,219,3,3
214,SAL,Satış Departamenti,Satışa dəstək üzrə aparıcı mütəxəssis,224,3,3
215,SAL,Satış Departamenti,Satışa dəstək üzrə aparıcı mütəxəssis,269,3,3
216,SAL,Satış Departamenti,Satışa dəstək üzrə aparıcı mütəxəssis,289,3,3
217,SAL,Satış Departamenti,KAM üzrə satış meneceri,209,3,3
218,SAL,Satış Departamenti,KAM üzrə satış meneceri,210,3,3
219,SAL,Satış Departamenti,KAM üzrə satış meneceri,211,3,3
220,SAL,Satış Departamenti,KAM üzrə satış meneceri,214,3,3
221,SAL,Satış Departamenti,KAM üzrə satış meneceri,219,3,3
222,SAL,Satış Departamenti,KAM üzrə satış meneceri,224,3,3
223,SAL,Satış Departamenti,KAM üzrə satış meneceri,269,3,3
224,SAL,Satış Departamenti,KAM üzrə satış meneceri,289,3,3
225,SAL,Satış Departamenti,OT şöbəsinin rəhbəri,209,4,4
226,SAL,Satış Departamenti,OT şöbəsinin rəhbəri,210,4,4
227,SAL,Satış Departamenti,OT şöbəsinin rəhbəri,211,4,4
228,SAL,Satış Departamenti,OT şöbəsinin rəhbəri,214,4,4
229,SAL,Satış Departamenti,OT şöbəsinin rəhbəri,219,4,4
230,SAL,Satış Departamenti,OT şöbəsinin rəhbəri,224,4,4
231,SAL,Satış Departamenti,OT şöbəsinin rəhbəri,269,4,4
232,SAL,Satış Departamenti,OT şöbəsinin rəhbəri,289,4,4
233,SAL,Satış Departamenti,Satış meneceri,209,3,3
234,SAL,Satış Departamenti,Satış meneceri,210,3,3
235,SAL,Satış Departamenti,Satış meneceri,211,3,3
236,SAL,Satış Departamenti,Satış meneceri,214,3,3
237,SAL,Satış Departamenti,Satış meneceri,219,3,3
238,SAL,Satış Departamenti,Satış meneceri,224,3,3
239,SAL,Satış Departamenti,Satış meneceri,269,3,3
240,SAL,Satış Departamenti,Satış meneceri,289,3,3
241,SAL,Satış Departamenti,Supervayzer,209,3,3
242,SAL,Satış Departamenti,Supervayzer,210,3,3
243,SAL,Satış Departamenti,Supervayzer,211,3,3
244,SAL,Satış Departamenti,Supervayzer,214,3,3
245,SAL,Satış Departamenti,Supervayzer,219,3,3
246,SAL,Satış Departamenti,Supervayzer,224,3,3
247,SAL,Satış Departamenti,Supervayzer,269,3,3
248,SAL,Satış Departamenti,Supervayzer,289,3,3
