id,match_on,pattern,area,priority,note
1,sube,biznes tətbiqləri,ERP,10,"ERP şöbəsi Maliyyə departamentinin tərkibindədir, amma səriştələri İT/ERP-dir"
2,sube,erp,ERP,11,
3,sube,informasiya texnologiya,ERP,12,
4,sube,data analitika,BA,20,Maliyyə tərkibində olsa belə — Biznes Analitikası
5,sube,biznes analitika,BA,21,
6,sube,xidmət keyfiyyət,BA,22,
7,sube,daxili təhlükəsizli,SEC,30,
8,sube,daxili nəzarət,RSK,31,
9,sube,biznes risk,RSK,32,
10,sube,təftiş,RSK,33,
11,sube,risk,RSK,34,
12,sube,hüquq,LEG,40,
13,sube,sətəm,HSE,41,
14,sube,avtopark,ADM,50,
15,sube,təsərrüfat,ADM,51,
16,sube,inzibati,ADM,52,
17,sube,tədarük,SCM,60,
18,sube,satınalma,SCM,61,
19,sube,gömrük,SCM,62,
20,sube,anbar,LOG,70,
21,sube,çatdırılma,LOG,71,
22,sube,logistika,LOG,72,
23,sube,marketinq,MKT,80,
24,sube,marketing,MKT,81,
25,sube,istedad,HRM,90,
26,sube,təlim-inkişaf,HRM,91,
27,sube,işə qəbul,HRM,92,
28,sube,biznesin inkişafı,SAL,100,Yoxlayın: kommersiya/satış kimi qəbul edildi
29,sube,satış,SAL,101,
30,sube,mühasibat,FIN,110,
31,sube,büdcə,FIN,111,
32,sube,hesabatlıq,FIN,112,
33,sube,xəzinə,FIN,113,
34,sube,vergi,FIN,114,
35,dept,informasiya texnologiya,ERP,200,
36,dept,erp,ERP,201,
37,dept,data analitika,BA,202,
38,dept,biznes analitika,BA,203,
39,dept,daxili təhlükəsizli,SEC,204,
40,dept,maliyyə,FIN,210,
41,dept,satış,SAL,211,
42,dept,logistika,LOG,212,
43,dept,risk,RSK,213,
44,dept,tədarük,SCM,214,
45,dept,insan resurs,HRM,215,
46,dept,inzibati,ADM,216,
47,dept,hüquq,LEG,217,
48,dept,marketinq,MKT,218,
49,dept,marketing,MKT,219,
50,dept,sətəm,HSE,220,
